t,YawGradient,Roll,FL normal force,FR normal force,RL normal force,RR normal force
0.0,0.021450411226043208,0.0,130.0,130.0,230.0,230.0
0.010000000000000002,0.02595764382704964,0.7316901546862961,106.97407083926288,153.02592916073712,205.1319965064039,254.8680034935961
0.020000000000000004,0.0302998692842866,1.3285057940284755,87.97848056871943,172.02151943128058,184.616759014217,275.383240985783
0.03,0.03455222490202328,1.8164342949932413,72.45401155892525,187.54598844107477,167.85033248363928,292.14966751636075
0.04000000000000001,0.03890544278740429,2.2314222708113816,59.25605316097587,200.74394683902415,153.59653741385392,306.4034625861461
0.05,0.043523206301684735,2.6012672613228927,47.49957642146806,212.50042357853192,140.8995425351855,319.1004574648145
0.06,0.04855727827938543,2.947869514145409,36.48748879454617,223.51251120545385,129.00648789810987,330.99351210189013
0.06999999999999999,0.05415307514994906,3.2890062132188125,25.654121462499518,234.34587853750048,117.30645117949948,342.6935488205005
0.08000000000000002,0.0604438783915184,3.639551860442777,14.52628285912769,245.4737171408723,105.28838548785791,354.7116145121421
0.09000000000000001,0.06752666100081686,4.012028281102421,2.7055456982391632,257.2944543017608,92.52198935409831,367.4780106459017
0.1,0.07438892836694717,4.434017776957744,0,270.66996428657274,78.07643857050147,381.92356142949853
0.11000000000000001,0.08203205068766821,4.959218190199581,0,287.31432030896246,60.100534066320535,399.8994659336795
0.12,0.09051709048161703,5.600262013650751,0,307.63555090450154,38.15360502313834,421.8463949768617
0.13,0.09896530109089703,6.35578950350219,0,331.5964940594928,12.275786415747802,447.7242135842522
0.13999999999999999,0.1032897045661048,7.1828565013929495,0,357.8611131362429,0,476.0900021871423
0.15000000000000002,0.1012436693085507,7.935633818361526,0,381.8115937912743,0,501.95652129457625
0.16000000000000003,0.0938357682730912,8.498600187428165,0,399.76706554569796,0,521.3484307893538
0.17,0.08201849064034546,8.779840606552652,0,408.7990123921319,0,531.1029333835024
0.18000000000000002,0.06777487684262694,8.729310578272484,0,407.30187246018056,0,529.486022256995
